headPosition,headRotation,gazeDirection,rightHandPosition,leftHandPosition,rightHandEndPoint,leftHandEndPoint,targetPosition,hitByHandPointer,hitByGazePointer,buttonClicked,stepChange,timestamp,headLinearVelocity,headAngularVelocity,rightHandVelocity,leftHandVelocity,gazeDirectionVelocity,headPositionNorm,headRotationNorm,gazeDirectionNorm,rightHandPositionNorm,leftHandPositionNorm,rightHandEndPointNorm,leftHandEndPointNorm,targetPositionNorm,headLinearVelocityNorm,headAngularVelocityNorm,rightHandVelocityNorm,leftHandVelocityNorm,gazeDirectionVelocityNorm
[4.56668997 0.0879623  1.57585442],[ 6.29890919 59.64199829 -1.67766964],[ 0.85881525 -0.1109647   0.50012314],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,0,144.899215698242,[-2.13264475e-03 -2.03464939e-05  8.87494685e-04],[ 0.00854293 -0.04571641 -0.00372514],[0. 0. 0.],[0. 0. 0.],[-0.01468076  0.02019324  0.02937009],4.83174003709809,59.99715653704906,0.9999999807721139,0.0,0.0,0.0,0.0,0.0,0.0023100290918260163,0.0466567078831436,0.0,0.0,0.038547294662082295
[4.56623077 0.08795792 1.57604551],[ 6.40430117 59.07800674 -1.72362578],[ 0.85565424 -0.10661676  0.50644702],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,0,145.114532470703,[ 0.00776633 -0.0025945  -0.00493446],[ 0.01987336  0.02328086 -0.04482474],[0. 0. 0.],[0. 0. 0.],[-0.00472846 -0.00698707  0.00649542],4.831368288148706,59.44911134868042,0.999999946054127,0.0,0.0,0.0,0.0,0.0,0.009560134329557558,0.054278970291490654,0.0,0.0,0.010647439949143106
[4.5677948  0.08743542 1.57505178],[ 6.63361073 59.34663391 -2.24083781],[ 0.854702   -0.10802385  0.5077551 ],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,0,145.31591796875,[ 0.01407952 -0.00073658 -0.002084  ],[ 0.01084978  0.03817869 -0.00173558],[0. 0. 0.],[0. 0. 0.],[ 0.01297521 -0.04032561 -0.03100188],4.8325130533145195,59.75825551285602,0.9999999483241675,0.0,0.0,0.0,0.0,0.0,0.01425196794914638,0.03972835502187009,0.0,0.0,0.05249406741888034
[4.57081175 0.08727759 1.57460523],[ 6.76681662 59.81536484 -2.262146  ],[ 0.85748231 -0.11666479  0.50111204],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,0,145.530197143555,[ 0.01492902 -0.00301167 -0.00898354],[ 0.0062438   0.06806532 -0.0207092 ],[0. 0. 0.],[0. 0. 0.],[ 0.02218005  0.00194533 -0.03788671],4.835216545054881,60.23939726029604,0.9999999363233032,0.0,0.0,0.0,0.0,0.0,0.017681912136411265,0.07141949202361189,0.0,0.0,0.04394475559800363
[4.57380867 0.08667301 1.57280183],[ 6.83863163 60.5982399  -2.50033951],[ 0.86193484 -0.11627427  0.49350649],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,0,145.730941772461,[ 0.01604938 -0.00098069 -0.00671413],[-0.00572835  0.1287972  -0.02617727],[0. 0. 0.],[0. 0. 0.],[ 0.05092125 -0.01968656 -0.0960993 ],4.837452175770948,61.03413191849122,1.0000000167088916,0.0,0.0,0.0,0.0,0.0,0.01742481017124765,0.1315552452645669,0.0,0.0,0.11052425197967906
[4.57708168 0.08647302 1.57143259],[ 6.77169847 62.10317612 -2.80620885],[ 0.8723194  -0.12028903  0.4739086 ],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,0,145.934875488281,[-0.00044203 -0.00590528 -0.00973353],[0.04654636 0.18492691 0.01842899],[0. 0. 0.],[0. 0. 0.],[ 0.08593694 -0.02075345 -0.1718683 ],4.840098622692052,62.534272140569236,0.9999999752598591,0.0,0.0,0.0,0.0,0.0,0.011393392461503782,0.19158328081541015,0.0,0.0,0.19327332262365676
[4.57698727 0.08521169 1.56935358],[ 7.34133053 64.36630249 -2.58067584],[ 0.89067489 -0.12472181  0.43719882],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,0,146.148468017578,[-0.04057463 -0.01360197 -0.04131263],[ 0.09594082  0.23594051 -0.09953263],[0. 0. 0.],[0. 0. 0.],[ 0.09195729 -0.13229281 -0.24669844],4.839312361426851,64.83498992043273,1.0000000471103903,0.0,0.0,0.0,0.0,0.0,0.05948149160144932,0.2734580571441313,0.0,0.0,0.2946483478153336
[4.56815243 0.08224996 1.56035805],[ 8.53826427 67.30983734 -3.82242012],[ 0.91069794 -0.15352763  0.38348198],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,0,146.3662109375,[-0.04739846 -0.00369245 -0.02197992],[ 0.01307818  0.10263043 -0.02927013],[23.13964364 -0.77344049  7.3364893 ],[0. 0. 0.],[ 0.0467922  -0.01003923 -0.11979607],4.82799118630359,67.9568028626413,0.9999999474378823,0.0,0.0,0.0,0.0,0.0,0.052377143679559264,0.10752108448640584,24.287144613842703,0.0,0.12900152624683955
[4.55798435 0.08145785 1.55564284],[ 8.6990118  68.57129669 -4.18218756],[ 0.92073596 -0.15568128  0.35778293],[ 4.96399307 -0.16592102  1.57384801],[0. 0. 0.],[ 5.05751991 -0.09627155  1.6545589 ],[0. 0. 0.],[0. 0. 0.],GearsCollection (UnityEngine.GameObject),GearsCollection (UnityEngine.GameObject),None,0,146.58073425293,[-0.02401281  0.00082209  0.00088619],[0.00056421 0.06776023 0.01025334],[0.453044   0.31834992 0.09250648],[0. 0. 0.],[ 0.02620386  0.00147281 -0.06829044],4.8168331287780095,69.24728318941217,0.9999999930090491,5.210158784889407,0.0,5.322155674443571,0.0,0.0,0.024043212170519503,0.06853392134996039,0.5613848863608549,0.0,0.07316006678033486
[4.55317783 0.0816224  1.55582023],[ 8.70548248 69.34841156 -4.06459618],[ 0.92598104 -0.15538648  0.34411359],[ 5.05467653 -0.10219857  1.59236455],[0. 0. 0.],[ 5.28510857 -0.0068377   1.73035645],[0. 0. 0.],[0. 0. 0.],Quad (UnityEngine.GameObject),GearsCollection (UnityEngine.GameObject),None,0,146.780899047852,[-0.01124921  0.00188936  0.01443913],[ 0.01452606 -0.0457466  -0.01494005],[0.05935314 0.06365195 0.09028514],[0. 0. 0.],[-0.01417247 -0.01529782  0.03079522],4.812345288712301,70.01077455105519,1.000000007201138,5.300549429779374,0.0,5.5611646956715965,0.0,0.0,0.0184011619406409,0.05026890311571725,0.12540244098438477,0.0,0.03719177586034755
