annotation,headPosition,headRotation,gazeOrigin,gazeHitPosition,rightHandPosition,leftHandPosition,rightHandEndPoint,leftHandEndPoint,HitByHandPointer,HitByGazePointer,buttonClicked,timestamps,gazeDirection,hand2GazePointersDistance,headLinearVelocity,headAngularVelocity,rightHandVelocity,leftHandVelocity,gazeHitPositionVelocity,handsEndPointVelocity,gazeDirectionVelocity,headPositionNorm,gazeOriginNorm,gazeHitPositionNorm,rightHandPositionNorm,leftHandPositionNorm,rightHandEndPointNorm,leftHandEndPointNorm,gazeDirectionNorm,headLinearVelocityNorm,headAngularVelocityNorm,rightHandVelocityNorm,leftHandVelocityNorm,gazeHitPositionVelocityNorm,handsEndPointVelocityNorm,gazeDirectionVelocityNorm
information_assimilation_augmentation,[ 0.17808926 -0.00386783  0.36710292],"quaternion(0.950242102146149, 0.0698247775435448, -0.303454548120499, -0.00893457420170307)",[0.17324018 0.00310617 0.37066275],[-0.36079067 -0.0340377   1.0262475 ],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,532.0712,[-0.53403085 -0.03714387  0.65558475],0.0,[0.00122876 0.03929345 0.02040862],[ 0.71666201  0.18271596 -0.60497837],[0. 0. 0.],[0. 0. 0.],[ 0.03021117 -0.00844804  0.01454509],[0. 0. 0.],[0.00571452 0.04183164 0.00702505],0.40803835555613516,0.4091609503509611,1.0883530707990348,0.0,0.0,0.0,0.0,0.8463805225717018,0.04429442899248838,0.9555042583131336,0.0,0.0,0.03457808009705652,0.0,0.042800622940298294
information_assimilation_augmentation,[0.17835295 0.00456455 0.37148261],"quaternion(0.956356167793274, 0.0271017160266638, -0.285845965147018, -0.0542264841496944)",[0.17258383 0.00281439 0.37053385],[-0.35430735 -0.03585065  1.02936888],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,532.2858,[-0.52689119 -0.03866505  0.65883502],0.0,[0.01037907 0.01442028 0.01925017],[-0.12588118 -0.00909982 -0.01494562],[0. 0. 0.],[0. 0. 0.],[0.03450843 0.0007847  0.02369631],[0. 0. 0.],[-0.0007021   0.04929252  0.00233134],0.4121042836750687,0.4087645252868904,1.089228743534304,0.0,0.0,0.0,0.0,0.844495646467432,0.02619615521920438,0.12709150351665727,0.0,0.0,0.041868395845204326,0.0,0.049352616305917474
information_assimilation_augmentation,[0.1805886  0.00767067 0.3756291 ],"quaternion(0.959424376487732, 0.0253570973873138, -0.277230888605118, -0.0447776280343533)",[0.17212136 0.0030826  0.37116319],[-0.34687424 -0.03568163  1.03447306],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,532.5012,[-0.5189956  -0.03876423  0.66330987],0.0,[-0.00234875  0.00121059  0.00870195],[-0.0121889   0.02662455 -0.17174252],[0. 0. 0.],[0. 0. 0.],[0.03070506 0.002403   0.02034155],[0. 0. 0.],[-0.00177581  0.04261743  0.00110114],0.4168552524177441,0.40914224723125153,1.0916636066058072,0.0,0.0,0.0,0.0,0.8431127341485939,0.009094285719871203,0.17422091790599223,0.0,0.0,0.03691007758769621,0.0,0.0426686265736413
information_assimilation_augmentation,[0.18003947 0.00795371 0.37766361],"quaternion(0.96068549156189, 0.0137149700894952, -0.273877888917923, -0.0434315614402294)",[0.17163612 0.00342389 0.37209454],[-0.33969539 -0.03511981  1.03922892],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,532.735,[-0.51133151 -0.03854369  0.66713437],0.0,[-0.00405696 -0.01341229 -0.00134455],[-0.0101378  -0.01936542  0.11891629],[0. 0. 0.],[0. 0. 0.],[0.22076089 0.02378254 0.14691064],[0. 0. 0.],[-0.01195838  0.29662279  0.00797177],0.4184582114534977,0.4097865646082712,1.0939026929617093,0.0,0.0,0.0,0.0,0.8414355627917054,0.014076798740276862,0.12090855303058187,0.0,0.0,0.26623995839449505,0.0,0.2969707618794574
information_assimilation_augmentation,[0.17921469 0.00522699 0.37739027],"quaternion(0.962984621524811, 0.0199054405093193, -0.265589267015457, -0.0415540188550949)",[0.16927449 0.00691165 0.38122278],[-0.29481471 -0.03028481  1.06909585],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,532.9383,[-0.4640892  -0.03719647  0.68787307],0.0,[ 0.00084324 -0.05457581 -0.0204465 ],[-0.10848978 -0.04597756  0.24189261],[0. 0. 0.],[0. 0. 0.],[-0.02834418 -0.0209878  -0.01797486],[0. 0. 0.],[ 0.01939828 -0.04424601  0.0106949 ],0.4178141185353071,0.417171950993653,1.1094137268142183,0.0,0.0,0.0,0.0,0.830621283577174,0.05828627095694684,0.26906505618518956,0.0,0.0,0.039585046747857046,0.0,0.04948114328984336
information_assimilation_augmentation,[ 0.1793986  -0.00667599  0.37293088],"quaternion(0.958832800388336, 0.0361249968409538, -0.279239982366562, -0.036874134093523)",[0.16997355 0.00635594 0.38146028],[-0.30099657 -0.03486225  1.06517553],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,533.1564,[-0.47097012 -0.04121819  0.68371525],0.0,[ 0.01422451 -0.00491802 -0.03107972],[ 0.00848707 -0.00450168  0.04240488],[0. 0. 0.],[0. 0. 0.],[-0.01388169 -0.02027919 -0.00929854],[0. 0. 0.],[ 0.01434255 -0.02001682  0.00867299],0.41389113270457456,0.41766416062180234,1.1074354291305295,0.0,0.0,0.0,0.0,0.8312510727343752,0.03453219335342138,0.04347952616794587,0.0,0.0,0.02627564822308765,0.0,0.026107517857279158
information_assimilation_augmentation,[ 0.18255928 -0.00776878  0.36602497],"quaternion(0.959129273891449, 0.0386542417109013, -0.277832239866257, -0.0372309014201164)",[0.17043021 0.00499069 0.38078687],[-0.30408108 -0.03936829  1.0631094 ],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,533.3786,[-0.4745113  -0.04435898  0.68232253],0.0,[-0.0017151   0.02132299 -0.02051794],[-0.08363722 -0.01868648  0.05261151],[0. 0. 0.],[0. 0. 0.],[-0.02629642 -0.01639637 -0.0178226 ],[0. 0. 0.],[ 0.01169752 -0.03937908  0.00557476],0.4090996511610673,0.4172169720951854,1.1064432921803948,0.0,0.0,0.0,0.0,0.8322816386366838,0.029641141511516682,0.10056012878828222,0.0,0.0,0.035748949907130755,0.0,0.04145626519769114
information_assimilation_augmentation,[ 0.18216635 -0.00288368  0.36132431],"quaternion(0.960968136787415, 0.0412120297551155, -0.271807491779327, -0.0310248900204897)",[0.17138898 0.00375501 0.37985671],[-0.31010559 -0.0431247   1.05902624],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,533.6077,[-0.48149458 -0.04687971  0.67916954],0.0,[0.00131893 0.00302357 0.02504839],[ 0.21225137  0.04061107 -0.07384661],[0. 0. 0.],[0. 0. 0.],[-0.00296766 -0.0207713  -0.00204239],[0. 0. 0.],[ 0.01552373 -0.00247945  0.01083435],0.4046580691698826,0.41674860613022635,1.104337718975076,0.0,0.0,0.0,0.0,0.8338501016387349,0.02526466284094935,0.2283708052530927,0.0,0.0,0.021081398075221733,0.0,0.019092328498245596
information_assimilation_augmentation,[ 0.182504   -0.00210965  0.3677367 ],"quaternion(0.958178758621216, 0.036910530179739, -0.279734492301941, -0.0477477051317692)",[0.17201093 0.00258633 0.37830362],[-0.31086531 -0.04844215  1.05850339],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,533.8637,[-0.48287624 -0.05102848  0.68019977],0.0,[ 0.04150577 -0.01453042  0.03122197],[0.67921305 0.06339088 0.15367229],[0. 0. 0.],[0. 0. 0.],[ 0.01794483 -0.01007054  0.01030628],[0. 0. 0.],[0.00646291 0.02309881 0.00632091],0.41053920453833354,0.4155816109820185,1.1042704877098182,0.0,0.0,0.0,0.0,0.8357302793682023,0.05393211641369888,0.6992595689075227,0.0,0.0,0.02301417375118282,0.0,0.02480480203263276
other,[ 0.19147339 -0.00524967  0.37448376],"quaternion(0.957984566688538, 0.0451949015259743, -0.268952876329422, -0.0888111218810081)",[0.17265415 0.00204497 0.37786368],[-0.30698743 -0.0506184   1.06073058],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,534.0798,[-0.47964159 -0.05266337  0.6828669 ],0.0,[ 0.0346296  -0.00625276  0.06155089],[ 0.09616563 -0.02456857  0.12334023],[0. 0. 0.],[0. 0. 0.],[ 0.01280199 -0.01269218  0.00734556],[0. 0. 0.],[0.00855009 0.00678621 0.00652889],0.42062775649316025,0.4154450568142938,1.1054197677379634,0.0,0.0,0.0,0.0,0.8361439387552245,0.07090005892642494,0.1583169529023436,0.0,0.0,0.019466371897703127,0.0,0.012719398341516955
